Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
11.11.2025,14:54:40.064,103.314,121.913,113.006,4.122,250.0,250.0,335.131,133.424,13.491,325.827,208.483,129.278,79.205,127.721,216.604,57.615,158.989,17.026,0.000,0.000,1.125,2.125,76.0,
11.11.2025,14:54:41.058,77.486,117.152,108.490,3.915,250.0,250.0,335.617,118.965,13.741,302.150,194.230,120.443,73.787,118.992,174.746,46.493,128.253,16.814,0.000,0.000,0.000,1.625,76.0,
11.11.2025,14:54:42.063,100.595,109.927,101.342,3.894,250.0,250.0,311.141,119.120,13.897,302.568,194.632,120.690,73.942,119.227,174.763,47.197,127.567,16.721,0.000,0.000,0.000,0.500,76.0,
11.11.2025,14:54:43.060,23.110,144.266,135.450,4.026,250.0,250.0,279.238,78.998,13.195,213.400,139.059,86.221,52.838,85.182,92.207,20.254,71.954,15.672,0.000,0.000,0.000,0.000,76.0,
11.11.2025,14:54:44.056,103.314,73.491,65.250,3.602,250.0,250.0,167.785,207.830,12.853,340.187,216.986,134.548,82.438,132.930,245.417,68.005,177.412,667.526,0.003,0.000,0.000,1.000,76.0,
11.11.2025,14:54:45.066,81.564,119.750,111.034,4.007,250.0,250.0,296.995,127.517,12.521,324.403,207.085,128.409,78.676,126.863,190.087,50.828,139.259,17.038,0.000,0.000,2.375,1.375,76.0,
11.11.2025,14:54:46.059,81.564,116.173,107.495,3.946,250.0,250.0,336.597,153.887,13.068,335.431,214.156,132.790,81.366,131.185,236.956,63.203,173.753,156.961,0.000,0.000,1.250,2.250,76.0,
11.11.2025,14:54:47.067,91.080,116.323,107.601,3.955,250.0,250.0,342.134,127.063,13.555,316.013,202.548,125.599,76.949,124.089,197.214,52.612,144.602,17.451,0.000,0.000,0.000,0.000,76.0,
11.11.2025,14:54:48.056,50.298,119.138,110.467,3.956,250.0,250.0,343.435,144.275,13.716,330.127,211.346,131.052,80.294,129.471,221.233,59.643,161.590,104.280,0.000,0.000,0.000,0.000,76.0,
11.11.2025,14:54:49.064,104.673,140.948,132.231,4.020,250.0,250.0,339.377,86.483,13.090,218.355,142.039,88.073,53.966,87.010,123.249,28.693,94.556,15.802,0.000,0.000,0.500,0.500,76.0,
11.11.2025,14:54:50.059,29.907,66.000,57.877,3.417,250.0,250.0,239.358,31.376,12.490,89.794,63.442,39.343,24.099,38.865,15.629,1.159,14.470,14.470,0.000,0.000,0.000,0.000,76.0,
11.11.2025,14:54:51.062,103.314,98.371,89.894,3.818,250.0,250.0,138.142,163.026,12.566,335.177,213.649,132.484,81.165,130.891,190.547,51.258,139.289,343.230,0.000,0.001,0.500,0.000,76.0,
11.11.2025,14:54:52.059,95.158,119.639,110.941,3.967,250.0,250.0,340.010,144.706,12.838,346.171,220.695,136.856,83.839,135.202,247.065,66.055,181.010,17.333,0.000,0.000,0.500,0.000,76.0,
11.11.2025,14:54:53.065,46.219,121.627,112.884,3.989,250.0,250.0,337.756,129.561,13.057,326.188,208.444,129.248,79.196,127.690,197.152,52.729,144.423,17.486,0.000,0.000,1.375,0.500,76.0,
11.11.2025,14:54:54.070,80.204,118.929,110.166,3.996,250.0,250.0,337.976,133.883,13.728,328.674,210.460,130.501,79.959,128.920,214.492,56.933,157.559,17.605,0.000,0.000,0.000,1.500,76.0,
11.11.2025,14:54:55.060,107.392,119.693,110.968,3.985,250.0,250.0,339.565,139.435,14.621,320.268,205.818,127.627,78.191,126.081,185.532,49.285,136.247,150.683,0.000,0.000,1.000,1.000,76.0,
