Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
6.11.2025,18:17:16.830,17.672,24.891,17.986,2.968,250.0,250.0,66.177,20.329,8.747,64.316,45.134,27.992,17.142,27.651,4.241,0.437,3.804,3.830,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:17.828,23.110,25.248,18.370,2.977,250.0,250.0,69.383,17.514,8.748,53.350,38.383,23.804,14.579,23.511,4.483,0.466,4.017,3.797,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:18.837,16.313,28.756,21.767,3.016,250.0,250.0,65.976,21.009,8.753,64.067,44.968,27.885,17.083,27.556,7.960,1.199,6.761,3.855,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:19.837,19.032,25.742,18.791,2.994,250.0,250.0,69.139,20.198,8.763,63.785,44.819,27.794,17.025,27.452,4.267,0.437,3.830,3.804,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:20.841,17.672,27.159,20.266,2.983,250.0,250.0,65.879,47.039,8.735,58.282,41.391,25.668,15.723,25.351,101.655,31.232,70.423,91.934,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:21.833,27.188,27.806,20.834,3.018,250.0,250.0,66.740,20.169,8.711,63.734,44.734,27.742,16.992,27.413,4.267,0.437,3.830,3.830,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:22.828,31.266,26.618,19.651,3.041,250.0,250.0,66.766,14.437,8.720,41.750,31.236,19.370,11.866,19.138,4.241,0.437,3.804,3.804,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:24.837,17.672,26.975,19.916,3.104,250.0,250.0,67.214,15.549,8.736,45.967,33.862,21.002,12.860,20.745,4.253,0.440,3.813,3.813,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:25.836,24.469,25.742,18.892,2.963,250.0,250.0,66.362,15.549,8.756,65.169,45.670,28.324,17.346,27.982,4.572,0.725,3.847,3.847,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:26.838,23.110,26.057,19.179,2.965,250.0,250.0,69.860,20.624,8.763,64.181,45.062,27.940,17.122,27.610,4.271,0.441,3.830,3.830,0.000,0.000,0.000,0.000,10.0,
