Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","나머지 칩 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
16.11.2025,17:54:42.846,112.830,182.871,173.404,4.445,0.000,250.0,250.0,283.031,174.233,13.660,212.090,139.115,86.264,52.851,85.220,369.461,172.172,197.289,414.207,0.000,1.125,0.000,39.0,
16.11.2025,17:54:43.835,107.392,170.124,160.691,4.415,0.000,250.0,250.0,287.947,139.665,14.545,345.739,222.007,137.665,84.342,135.996,220.915,56.231,164.684,14.529,0.000,1.000,1.500,39.0,
16.11.2025,17:54:44.844,110.111,175.852,166.382,4.443,0.000,250.0,250.0,291.676,92.195,15.099,320.964,207.066,128.398,78.668,126.849,15.364,1.186,14.178,14.175,0.000,0.375,0.000,39.0,
16.11.2025,17:54:45.843,108.752,171.819,162.130,4.570,0.000,250.0,250.0,240.552,174.244,14.200,230.469,150.785,93.491,57.294,92.362,375.656,162.551,213.104,352.525,0.000,1.125,1.250,39.0,
16.11.2025,17:54:46.839,112.830,185.778,175.975,4.622,0.000,250.0,250.0,206.109,87.325,13.068,304.793,195.585,121.272,74.313,119.809,15.181,1.135,14.046,14.046,0.000,0.000,0.000,39.0,
16.11.2025,17:54:47.845,110.111,135.411,126.313,4.227,0.000,250.0,250.0,260.209,277.507,12.288,492.444,311.740,193.304,118.436,190.974,414.405,134.499,279.906,627.069,0.000,2.500,0.000,39.0,
16.11.2025,17:54:48.848,106.033,171.557,162.075,4.471,0.000,250.0,250.0,381.074,247.982,12.297,315.241,201.765,125.108,76.657,123.607,419.750,135.846,283.904,785.648,0.000,2.375,1.750,39.0,
16.11.2025,17:54:49.836,110.111,171.622,162.194,4.442,0.000,250.0,250.0,288.347,98.104,12.792,345.476,220.684,136.846,83.838,135.190,15.815,1.225,14.590,14.588,0.000,1.000,1.125,39.0,
16.11.2025,17:54:50.838,119.627,168.736,159.253,4.414,0.000,250.0,250.0,289.225,74.694,13.077,254.535,164.668,102.107,62.561,100.872,16.800,1.280,15.519,15.519,0.000,0.000,1.750,39.0,
16.11.2025,17:54:51.841,107.392,184.934,175.522,4.413,0.000,250.0,250.0,289.887,99.911,13.225,165.274,110.098,68.276,41.822,67.448,211.056,95.802,115.254,110.852,0.000,0.000,0.125,39.0,
16.11.2025,17:54:52.848,101.955,194.557,185.141,4.452,0.000,250.0,250.0,293.227,183.941,13.535,351.090,224.622,139.292,85.330,137.612,436.364,125.151,311.213,15.200,0.000,0.000,2.375,39.0,
16.11.2025,17:54:53.843,114.189,176.456,166.971,4.421,0.000,250.0,250.0,289.574,99.277,13.405,349.294,223.449,138.558,84.891,136.890,15.837,1.222,14.615,14.612,0.000,2.375,0.250,39.0,
16.11.2025,17:54:54.844,118.267,179.961,170.534,4.450,0.000,250.0,250.0,282.427,89.651,12.755,313.187,200.781,124.508,76.273,123.007,15.540,1.381,14.159,14.917,0.000,0.375,2.500,39.0,
16.11.2025,17:54:55.834,116.908,181.058,171.408,4.535,0.000,250.0,250.0,284.560,31.245,12.206,88.988,62.765,38.921,23.844,38.443,16.668,1.232,15.436,13.950,0.000,2.250,2.875,39.0,
16.11.2025,17:54:56.847,108.752,165.455,155.645,4.641,0.000,250.0,250.0,186.279,31.506,12.215,90.968,64.000,39.683,24.317,39.205,15.247,1.142,14.105,14.175,0.000,1.000,2.625,39.0,
16.11.2025,17:54:57.847,23.110,85.021,76.461,3.886,0.000,250.0,250.0,155.704,17.112,12.709,43.820,35.066,21.741,13.325,21.483,7.914,0.608,7.306,7.152,0.000,0.000,0.000,39.0,
16.11.2025,17:54:58.842,28.547,23.820,15.705,3.577,0.000,250.0,250.0,55.922,15.435,13.012,38.419,31.901,19.780,12.121,19.535,6.790,0.630,6.160,6.001,0.000,0.500,0.000,39.0,
16.11.2025,17:54:59.847,108.752,126.373,117.317,4.248,0.000,250.0,250.0,114.875,31.007,12.924,88.889,63.140,39.151,23.989,38.685,14.885,1.111,13.774,13.526,0.000,0.000,0.000,39.0,
16.11.2025,17:55:0.840,120.986,159.366,149.804,4.606,0.000,250.0,250.0,305.021,269.500,12.896,468.438,297.183,184.279,112.904,182.057,375.582,148.879,226.703,686.081,0.000,2.125,1.000,39.0,
16.11.2025,17:55:1.843,115.549,187.136,177.519,4.499,0.000,250.0,250.0,425.130,71.674,12.072,147.148,98.202,60.894,37.308,60.163,23.856,8.491,15.365,253.243,0.000,0.000,1.125,39.0,
16.11.2025,17:55:2.836,115.549,169.838,160.430,4.442,0.000,250.0,250.0,287.191,226.687,12.290,258.868,166.993,103.547,63.446,102.299,376.308,153.630,222.678,806.808,0.000,1.250,0.000,39.0,
16.11.2025,17:55:3.842,116.908,181.045,171.516,4.467,0.000,250.0,250.0,284.680,173.389,12.632,346.751,221.379,137.280,84.099,135.625,389.576,107.552,282.024,16.971,0.000,0.000,0.500,39.0,
16.11.2025,17:55:4.837,114.189,163.159,153.688,4.459,0.000,250.0,250.0,288.325,96.948,13.155,338.812,216.815,134.448,82.367,132.827,17.929,1.403,16.526,15.200,0.000,0.000,1.625,39.0,
