Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","나머지 칩 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]",
11.11.2025,10:7:20.861,9.516,11.259,2.235,2.887,0.000,250.0,250.0,10.465,3.619,2.685,6.987,5.996,3.718,2.278,3.681,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:21.862,19.032,11.748,2.683,2.862,0.000,250.0,250.0,10.309,3.900,2.648,8.099,6.665,4.139,2.526,4.090,3.739,0.393,3.346,3.354,0.000,0.000,0.000,
11.11.2025,10:7:22.873,12.235,11.302,2.318,2.887,0.000,250.0,250.0,10.436,3.723,2.673,7.394,6.242,3.878,2.364,3.829,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:23.872,13.594,11.309,2.292,2.917,0.000,250.0,250.0,10.380,3.707,2.636,7.370,6.205,3.853,2.352,3.804,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:24.872,5.438,13.465,4.392,2.909,0.000,250.0,250.0,10.227,3.724,2.697,7.374,6.248,3.882,2.366,3.832,3.746,0.392,3.354,3.346,0.000,0.000,0.000,
11.11.2025,10:7:25.874,13.594,11.319,2.278,2.899,0.000,250.0,250.0,10.435,3.748,2.673,7.495,6.300,3.913,2.387,3.864,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:26.869,14.953,13.604,4.557,2.888,0.000,250.0,250.0,10.369,3.771,2.734,7.517,6.362,3.938,2.424,3.888,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:27.863,10.875,12.492,3.363,2.936,0.000,250.0,250.0,10.490,3.694,2.685,7.269,6.179,3.828,2.351,3.779,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:28.861,10.875,11.395,2.360,2.901,0.000,250.0,250.0,10.358,3.817,2.612,7.813,6.467,4.016,2.451,3.966,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:29.859,10.875,11.226,2.256,2.869,0.000,250.0,250.0,10.404,3.751,2.477,7.699,6.318,3.916,2.402,3.867,3.738,0.392,3.346,3.354,0.000,0.000,0.000,
11.11.2025,10:7:30.869,9.516,11.642,2.610,2.866,0.000,250.0,250.0,10.280,3.798,2.660,7.691,6.425,3.976,2.449,3.927,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:31.866,10.875,11.818,2.794,2.869,0.000,250.0,250.0,10.215,3.699,2.673,7.302,6.188,3.833,2.355,3.796,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:32.863,10.875,11.418,2.464,2.864,0.000,250.0,250.0,10.574,3.775,2.771,7.509,6.375,3.950,2.425,3.901,3.738,0.392,3.346,3.346,0.000,0.000,0.000,
11.11.2025,10:7:33.864,10.875,11.317,2.302,2.881,0.000,250.0,250.0,10.873,3.641,2.673,7.078,6.051,3.759,2.292,3.709,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:34.859,17.672,11.712,2.702,2.860,0.000,250.0,250.0,10.834,3.869,2.869,7.758,6.587,4.087,2.500,4.038,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:35.871,16.313,11.990,2.972,2.859,0.000,250.0,250.0,10.883,3.747,2.979,7.195,6.306,3.909,2.397,3.860,3.738,0.392,3.346,3.346,0.001,0.000,0.000,
11.11.2025,10:7:36.871,10.875,12.172,3.162,2.895,0.000,250.0,250.0,10.833,3.826,2.845,7.617,6.484,4.018,2.466,3.981,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:37.867,8.156,11.536,2.517,2.863,0.000,250.0,250.0,10.738,3.848,2.697,7.846,6.542,4.053,2.489,4.004,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:38.867,9.516,11.513,2.482,2.893,0.000,250.0,250.0,10.645,3.878,2.746,7.916,6.611,4.100,2.511,4.051,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:39.868,10.875,10.778,1.780,2.873,0.000,250.0,250.0,10.734,3.889,2.661,8.043,6.637,4.113,2.524,4.063,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:40.867,10.875,11.411,2.414,2.879,0.000,250.0,250.0,10.873,3.874,2.575,8.074,6.602,4.102,2.500,4.053,3.738,0.392,3.346,3.354,0.001,0.000,0.000,
11.11.2025,10:7:41.869,13.594,11.723,2.630,2.899,0.000,250.0,250.0,10.797,3.818,2.624,7.804,6.469,4.017,2.452,3.968,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:42.861,9.516,12.080,3.068,2.845,0.000,250.0,250.0,10.664,3.896,2.759,7.963,6.655,4.128,2.527,4.079,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
